   n, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, heapSort_cmp, heapSort_swaps, heapSort_time, quick_cmp, quick_swaps, quick_time
 500,          1979,             241,             11,        251001,             145,            278,        22265,          10011,            43,     89370,         872,         49
 501,          1986,             243,             11,        252004,             147,            245,        22313,          10036,            43,     89824,         874,         49
 502,          1989,             243,             12,        253009,             147,            245,        22327,          10035,            44,     89862,         877,         49
 503,          1992,             243,             15,        254016,             147,            247,        22374,          10054,            44,     90255,         878,         49
 504,          1995,             243,             11,        255025,             147,            247,        22443,          10088,            44,     91665,         882,         50
 505,          1998,             243,             11,        256036,             147,            248,        22490,          10118,            43,     92089,         884,         50
 506,          2003,             244,             11,        257049,             148,            250,        22543,          10140,            43,     91665,         882,         49
 507,          2010,             246,             11,        258064,             148,            251,        22576,          10151,            77,     91679,         884,         50
 508,          2013,             246,              4,        259081,             148,            252,        22638,          10189,            44,     92730,         888,         51
 509,          2016,             246,              3,        260100,             148,            252,        22674,          10207,            44,     93320,         890,         50
 510,          2019,             246,              3,        261121,             148,            253,        22757,          10252,            44,     93254,         889,         50
 511,          2022,             246,              4,        262144,             148,            254,        22801,          10279,            43,     93681,         890,         50
 512,          2025,             246,              5,        263169,             148,            268,        22885,          10322,            73,     94653,         894,         97
 513,          2030,             247,              6,        264196,             149,            259,        22932,          10345,            46,     94708,         894,         53
 514,          2035,             248,              5,        265225,             150,            257,        22988,          10366,            46,     95174,         896,         53
 515,          2044,             251,              4,        266256,             149,            270,        23050,          10396,            45,     94742,         897,         52
 516,          2047,             251,              3,        267289,             149,            265,        23120,          10421,            45,     94979,         897,         52
 517,          2050,             251,              3,        268324,             149,            261,        23168,          10441,            45,     95487,         901,         52
 518,          2053,             251,              6,        269361,             149,            265,        23213,          10454,            46,     95913,         902,         55
 519,          2060,             253,              4,        270400,             151,            263,        23281,          10483,            46,     95598,         903,         53
 520,          2063,             253,              3,        271441,             151,            264,        23318,          10504,            46,     96158,         904,         52
 521,          2066,             253,              4,        272484,             151,            264,        23357,          10515,            47,     96674,         906,         52
 522,          2069,             253,              3,        273529,             151,            266,        23437,          10555,            48,     97227,         908,         54
 523,          2074,             254,              4,        274576,             152,            267,        23517,          10588,            88,     97274,         908,         53
 524,          2081,             256,              4,        275625,             152,            267,        23559,          10606,            46,     97329,         910,         53
 525,          2090,             259,              3,        276676,             153,            268,        23605,          10629,            46,     97381,         911,         53
 526,          2093,             259,              4,        277729,             153,            271,        23668,          10654,            46,     98176,         913,         53
 527,          2096,             259,              3,        278784,             153,            271,        23709,          10669,            46,     98852,         917,         53
 528,          2099,             259,              3,        279841,             153,            271,        23779,          10698,            46,     99386,         918,         53
 529,          2102,             259,              3,        280900,             153,            274,        23834,          10725,            47,     99958,         920,         53
 530,          2107,             260,              3,        281961,             154,            294,        23915,          10758,            47,     99998,         920,         55
 531,          2110,             260,              4,        283024,             154,            274,        23944,          10766,            47,    100579,         923,         54
 532,          2113,             260,              4,        284089,             154,            277,        23998,          10801,            47,    101124,         925,         54
 533,          2116,             260,              3,        285156,             154,            277,        24047,          10813,            47,    101670,         927,         54
 534,          2119,             260,              3,        286225,             154,            278,        24102,          10841,            47,    102102,         932,         55
 535,          2122,             260,             18,        287296,             154,            285,        24154,          10863,            47,    102513,         933,         55
 536,          2127,             261,              4,        288369,             155,            281,        24203,          10876,            49,    102547,         933,         57
 537,          2134,             263,              4,        289444,             155,            314,        24270,          10912,            48,    102589,         935,         56
 538,          2137,             263,              3,        290521,             155,            282,        24328,          10940,            82,    104216,         937,         57
 539,          2140,             263,              4,        291600,             155,            284,        24356,          10949,            48,    104680,         939,         56
 540,          2143,             263,              4,        292681,             155,            285,        24424,          10977,            48,    105112,         944,         56
 541,          2146,             263,              4,        293764,             155,            285,        24497,          11016,            48,    105555,         945,         56
 542,          2149,             263,              4,        294849,             155,            286,        24562,          11042,            49,    105566,         946,         57
 543,          2152,             263,              4,        295936,             155,            288,        24584,          11054,            48,    106038,         948,         57
 544,          2155,             263,              3,        297025,             155,            288,        24630,          11071,            47,    107595,         952,         57
 545,          2158,             263,              4,        298116,             155,            290,        24703,          11106,            47,    108079,         954,         57
 546,          2161,             263,              3,        299209,             155,            291,        24746,          11125,            48,    107783,         955,         57
 547,          2166,             264,              3,        300304,             156,            293,        24782,          11132,            48,    107812,         955,         57
 548,          2173,             266,              3,        301401,             156,            293,        24852,          11168,            48,    108397,         957,         58
 549,          2182,             269,              4,        302500,             157,            294,        24914,          11193,            48,    108431,         958,         82
 550,          2193,             273,              6,        303601,             157,            297,        24968,          11215,            49,    109020,         962,         58
 551,          2196,             273,              4,        304704,             157,            296,        25003,          11226,            50,    109668,         964,         58
 552,          2199,             273,              4,        305809,             157,            300,        25077,          11264,            49,    109670,         963,         58
 553,          2202,             273,              4,        306916,             157,            299,        25139,          11289,            86,    110146,         965,         58
 554,          2205,             273,              4,        308025,             157,            302,        25203,          11314,            92,    110037,         967,         59
 555,          2210,             274,              4,        309136,             158,            331,        25263,          11351,           101,    110062,         967,         59
 556,          2213,             274,              4,        310249,             158,            309,        25307,          11358,           121,    110710,         969,         97
 557,          2216,             274,              6,        311364,             158,            320,        25358,          11379,           148,    111330,         971,         98
 558,          2225,             277,              7,        312481,             161,            323,        25420,          11411,           103,    111268,         974,        107
 559,          2228,             277,              6,        313600,             161,            325,        25455,          11426,           101,    112066,         976,        103
 560,          2231,             277,              6,        314721,             161,            326,        25542,          11466,            97,    112626,         977,        101
 561,          2234,             277,              6,        315844,             161,            325,        25580,          11485,           105,    113298,         979,        108
 562,          2237,             277,              6,        316969,             161,            325,        25628,          11500,            98,    113870,         983,        108
 563,          2240,             277,              6,        318096,             161,            327,        25654,          11515,           102,    114404,         985,        106
 564,          2243,             277,              7,        319225,             161,            329,        25727,          11549,           102,    114968,         986,        105
 565,          2246,             277,              7,        320356,             161,            329,        25785,          11568,           105,    115520,         988,        108
 566,          2249,             277,              6,        321489,             161,            355,        25844,          11602,            97,    115472,         989,         64
 567,          2252,             277,              7,        322624,             161,            332,        25892,          11618,           109,    115861,         990,        110
 568,          2255,             277,              7,        323761,             161,            333,        25965,          11662,            92,    117395,         994,         96
 569,          2260,             278,              6,        324900,             162,            326,        26007,          11672,            96,    117410,         994,         97
 570,          2263,             278,              4,        326041,             162,            327,        26069,          11698,            94,    117410,         995,        100
 571,          2266,             278,              5,        327184,             162,            333,        26117,          11719,            86,    117874,         997,         78
 572,          2269,             278,              6,        328329,             162,            337,        26168,          11741,           101,    119273,        1000,        111
 573,          2272,             278,              6,        329476,             162,            336,        26234,          11781,            86,    119711,        1002,         65
 574,          2275,             278,              6,        330625,             162,            333,        26278,          11791,            78,    120285,        1003,        101
 575,          2278,             278,              6,        331776,             162,            336,        26308,          11804,            97,    120741,        1005,        100
 576,          2283,             279,              6,        332929,             163,            338,        26344,          11821,            96,    120179,        1005,        100
 577,          2288,             280,              4,        334084,             164,            325,        26393,          11836,            70,    120645,        1008,         65
 578,          2295,             282,              4,        335241,             164,            326,        26475,          11877,            66,    119977,        1010,         72
 579,          2298,             282,              6,        336400,             164,            348,        26517,          11894,           107,    120597,        1014,        118
 580,          2301,             282,              7,        337561,             164,            349,        26582,          11927,           111,    121049,        1015,        127
 581,          2304,             282,              6,        338724,             164,            351,        26632,          11944,           109,    121503,        1017,        102
 582,          2309,             283,              6,        339889,             165,            351,        26683,          11971,            97,    121513,        1017,        102
 583,          2312,             283,              6,        341056,             165,            348,        26750,          12003,            96,    122063,        1019,        102
 584,          2315,             283,              6,        342225,             165,            352,        26795,          12014,            82,    122594,        1021,        103
 585,          2318,             283,              6,        343396,             165,            349,        26840,          12031,            86,    123134,        1023,         68
 586,          2325,             285,              6,        344569,             167,            351,        26898,          12053,            79,    123208,        1025,         67
 587,          2328,             285,              6,        345744,             167,            340,        26954,          12081,            69,    123882,        1027,         66
 588,          2331,             285,              4,        346921,             167,            338,        27024,          12120,            67,    123980,        1027,         71
 589,          2334,             285,              4,        348100,             167,            339,        27059,          12126,            66,    124515,        1028,         65
 590,          2341,             287,              4,        349281,             169,            341,        27130,          12162,            67,    124488,        1030,         66
 591,          2344,             287,              4,        350464,             169,            341,        27164,          12179,            65,    125102,        1032,         97
 592,          2347,             287,              5,        351649,             169,            356,        27236,          12216,            96,    124727,        1031,        102
 593,          2350,             287,              7,        352836,             169,            359,        27277,          12230,            70,    125417,        1035,         68
 594,          2355,             288,              5,        354025,             170,            344,        27367,          12275,            68,    125483,        1035,         66
 595,          2360,             289,              4,        355216,             171,            345,        27393,          12282,            69,    126104,        1037,         66
 596,          2363,             289,              4,        356409,             171,            351,        27442,          12306,            67,    126835,        1039,         67
 597,          2366,             289,              4,        357604,             171,            349,        27508,          12333,            65,    127384,        1042,         67
 598,          2369,             289,              6,        358801,             171,            364,        27565,          12360,            70,    128031,        1044,         69
 599,          2372,             289,              4,        360000,             171,            350,        27637,          12401,            66,    128505,        1046,         68
 600,          2375,             289,              4,        361201,             171,            352,        27655,          12393,            67,    128981,        1049,         68
 601,          2378,             289,              4,        362404,             171,            359,        27722,          12434,            64,    129453,        1051,         68
 602,          2383,             290,              4,        363609,             172,            355,        27792,          12464,            68,    130113,        1051,         67
 603,          2388,             291,              4,        364816,             173,            356,        27860,          12493,            63,    130635,        1054,         67
 604,          2397,             294,              6,        366025,             172,            356,        27910,          12512,            69,    131456,        1058,         69
 605,          2400,             294,              4,        367236,             172,            358,        27962,          12542,            65,    132046,        1060,         69
 606,          2403,             294,              4,        368449,             172,            364,        28018,          12568,            51,    132652,        1061,         69
 607,          2406,             294,              4,        369664,             172,            360,        28084,          12602,            45,    133158,        1063,         69
 608,          2409,             294,              4,        370881,             172,            361,        28112,          12604,            45,    132496,        1063,         72
 609,          2414,             295,              4,        372100,             173,            362,        28137,          12611,            45,    132501,        1063,         69
 610,          2417,             295,              4,        373321,             173,            364,        28234,          12659,            46,    132509,        1064,        193
 611,          2420,             295,              4,        374544,             173,            365,        28270,          12686,            46,    133120,        1066,         70
 612,          2425,             296,              4,        375769,             174,            366,        28320,          12693,            45,    133793,        1068,         70
 613,          2428,             296,              4,        376996,             174,            369,        28394,          12733,            45,    134573,        1070,         70
 614,          2431,             296,              4,        378225,             174,            402,        28445,          12753,            45,    135187,        1071,         70
 615,          2434,             296,              4,        379456,             174,            369,        28519,          12793,            45,    135715,        1073,         70
 616,          2437,             296,              4,        380689,             174,            372,        28570,          12811,            45,    135591,        1074,         71
 617,          2442,             297,              4,        381924,             175,            373,        28589,          12821,            46,    135642,        1074,         70
 618,          2445,             297,              4,        383161,             175,            374,        28648,          12845,            46,    136247,        1076,         71
 619,          2448,             297,              4,        384400,             175,            375,        28709,          12876,            46,    136763,        1078,         70
 620,          2451,             297,              4,        385641,             175,            377,        28762,          12896,            46,    137364,        1082,         71
 621,          2456,             298,              4,        386884,             176,            380,        28836,          12940,            46,    137411,        1082,         71
 622,          2459,             298,              4,        388129,             176,            377,        28877,          12949,            69,    139174,        1085,        167
 623,          2462,             298,              5,        389376,             176,            409,        28957,          12996,            47,    139722,        1089,         73
 624,          2467,             299,              4,        390625,             177,            380,        29010,          13014,            46,    139174,        1085,         72
 625,          2470,             299,              4,        391876,             177,            381,        29044,          13024,            47,    139770,        1089,         72
 626,          2477,             301,              4,        393129,             179,            383,        29123,          13064,            46,    140370,        1094,         75
 627,          2486,             304,              5,        394384,             180,            406,        29187,          13099,            72,    140385,        1096,        133
 628,          2489,             304,              5,        395641,             180,            386,        29230,          13120,            47,    140431,        1095,        136
 629,          2492,             304,              7,        396900,             180,            430,        29264,          13125,            48,    141001,        1097,         76
 630,          2497,             305,              5,        398161,             181,            408,        29345,          13172,            47,    141043,        1097,         75
 631,          2500,             305,              4,        399424,             181,            388,        29387,          13190,            47,    141717,        1101,         74
 632,          2505,             306,              4,        400689,             182,            390,        29446,          13210,            47,    142389,        1101,         74
 633,          2508,             306,              4,        401956,             182,            391,        29506,          13251,            48,    143120,        1102,         74
 634,          2511,             306,              4,        403225,             182,            391,        29584,          13289,            47,    145059,        1107,         77
 635,          2516,             307,              5,        404496,             183,            394,        29612,          13304,            47,    145100,        1107,         75
 636,          2519,             307,              4,        405769,             183,            395,        29646,          13311,            47,    145736,        1108,         75
 637,          2528,             310,              4,        407044,             184,            396,        29694,          13336,            47,    145049,        1110,         75
 638,          2535,             312,              4,        408321,             184,            398,        29792,          13390,            47,    145195,        1112,         75
 639,          2538,             312,              4,        409600,             184,            400,        29818,          13403,            47,    146114,        1113,         75
 640,          2541,             312,              4,        410881,             184,            400,        29864,          13414,            47,    146243,        1114,         76
 641,          2544,             312,              5,        412164,             184,            401,        29963,          13468,            47,    146876,        1117,         76
 642,          2549,             313,              4,        413449,             185,            403,        29982,          13456,            48,    146912,        1117,         76
 643,          2552,             313,              4,        414736,             185,            403,        30026,          13477,            48,    147542,        1119,         76
 644,          2555,             313,              4,        416025,             185,            406,        30077,          13492,            48,    148185,        1123,         76
 645,          2558,             313,              4,        417316,             185,            406,        30121,          13510,            48,    148792,        1126,         76
 646,          2563,             314,              4,        418609,             186,            408,        30237,          13575,            48,    149477,        1128,         77
 647,          2566,             314,              5,        419904,             186,            409,        30282,          13595,            48,    150194,        1129,         78
 648,          2573,             316,              5,        421201,             187,            410,        30348,          13630,            49,    150110,        1132,         77
 649,          2584,             320,              4,        422500,             187,            411,        30406,          13660,            48,    149528,        1132,         77
 650,          2587,             320,              4,        423801,             187,            445,        30444,          13660,            48,    149731,        1132,         77
 651,          2590,             320,              5,        425104,             187,            414,        30493,          13688,            48,    150345,        1134,         77
 652,          2595,             321,              4,        426409,             188,            417,        30547,          13704,            48,    151032,        1136,         81
 653,          2598,             321,              5,        427716,             188,            416,        30598,          13732,            48,    151814,        1138,         78
 654,          2601,             321,              4,        429025,             188,            418,        30631,          13744,            49,    152468,        1139,         78
 655,          2606,             322,              4,        430336,             189,            420,        30692,          13783,            49,    152473,        1139,         78
 656,          2609,             322,              4,        431649,             189,            421,        30766,          13806,            52,    152713,        1140,         78
 657,          2612,             322,              4,        432964,             189,            421,        30784,          13810,            49,    153504,        1142,         78
 658,          2617,             323,              4,        434281,             190,            424,        30867,          13860,            49,    154186,        1142,         78
 659,          2620,             323,              4,        435600,             190,            424,        30923,          13884,            48,    155159,        1144,         79
 660,          2629,             326,              5,        436921,             191,            425,        30996,          13914,            48,    155562,        1148,         79
 661,          2634,             327,              4,        438244,             192,            427,        31021,          13918,            48,    156559,        1149,         79
 662,          2637,             327,              4,        439569,             192,            444,        31072,          13943,            49,    157236,        1153,         81
 663,          2640,             327,              4,        440896,             192,            433,        31145,          13975,            49,    158153,        1155,         81
 664,          2643,             327,              5,        442225,             192,            431,        31219,          14008,            49,    157503,        1154,         80
 665,          2646,             327,              4,        443556,             192,            432,        31243,          14013,            49,    158220,        1156,         80
 666,          2649,             327,              5,        444889,             192,            433,        31298,          14029,            49,    158349,        1158,         81
 667,          2652,             327,              4,        446224,             192,            434,        31345,          14060,            48,    159135,        1162,         81
 668,          2657,             328,              4,        447561,             193,            437,        31398,          14083,            49,    159155,        1162,         81
 669,          2660,             328,              4,        448900,             193,            439,        31468,          14125,            51,    159766,        1163,         83
 670,          2663,             328,              4,        450241,             193,            440,        31525,          14150,            50,    160391,        1167,         82
 671,          2666,             328,              5,        451584,             193,            440,        31566,          14162,            50,    160970,        1168,         82
 672,          2671,             329,              5,        452929,             194,            442,        31629,          14191,            50,    160986,        1168,         82
 673,          2680,             332,              4,        454276,             195,            489,        31703,          14234,            50,    160458,        1171,         84
 674,          2683,             332,              5,        455625,             195,            444,        31738,          14236,            50,    161106,        1172,         82
 675,          2686,             332,              5,        456976,             195,            445,        31801,          14273,            50,    161760,        1176,         83
 676,          2689,             332,              5,        458329,             195,            447,        31847,          14288,            51,    163777,        1180,         84
 677,          2692,             332,              5,        459684,             195,            449,        31910,          14328,            50,    164442,        1182,         84
 678,          2695,             332,              5,        461041,             195,            448,        31955,          14332,            50,    164441,        1182,         83
 679,          2698,             332,              4,        462400,             195,            450,        32031,          14378,            50,    165168,        1183,         84
 680,          2703,             333,              5,        463761,             196,            452,        32055,          14391,            50,    165852,        1185,         86
 681,          2706,             333,              5,        465124,             196,            464,        32098,          14398,            50,    166502,        1187,         86
 682,          2709,             333,              5,        466489,             196,            456,        32209,          14456,            51,    166497,        1187,         85
 683,          2712,             333,              5,        467856,             196,            458,        32246,          14471,            51,    167189,        1189,         85
 684,          2715,             333,              4,        469225,             196,            457,        32305,          14498,            51,    168456,        1193,         86
 685,          2718,             333,              5,        470596,             196,            460,        32374,          14533,            51,    169065,        1194,         86
 686,          2723,             334,              5,        471969,             197,            460,        32406,          14542,            51,    167627,        1193,         85
 687,          2730,             336,              5,        473344,             197,            460,        32469,          14576,            50,    167661,        1195,         84
 688,          2735,             337,              5,        474721,             198,            462,        32546,          14626,            51,    169562,        1200,         86
 689,          2740,             338,              5,        476100,             199,            464,        32570,          14623,            51,    169048,        1199,         86
 690,          2743,             338,              5,        477481,             199,            465,        32627,          14646,            51,    170270,        1202,         87
 691,          2746,             338,              5,        478864,             199,            465,        32727,          14705,            51,    170940,        1204,         86
 692,          2749,             338,              5,        480249,             199,            466,        32769,          14719,            51,    170985,        1203,         87
 693,          2754,             339,              5,        481636,             200,            470,        32813,          14743,            52,    170990,        1203,         86
 694,          2757,             339,              5,        483025,             200,            469,        32861,          14760,            51,    170247,        1205,         86
 695,          2766,             342,              5,        484416,             201,            472,        32897,          14772,            51,    169618,        1207,         87
 696,          2769,             342,              5,        485809,             201,            473,        32938,          14795,            55,    170359,        1209,         87
 697,          2772,             342,              5,        487204,             201,            474,        32973,          14801,            51,    171225,        1211,         87
 698,          2775,             342,              5,        488601,             201,            475,        33089,          14869,            53,    173393,        1217,         88
 699,          2780,             343,              5,        490000,             202,            478,        33125,          14878,            52,    173412,        1217,         87
 700,          2787,             345,              5,        491401,             202,            478,        33201,          14924,            51,    172639,        1215,         87
 701,          2790,             345,              5,        492804,             202,            480,        33228,          14930,            52,    173443,        1219,         88
 702,          2801,             349,              5,        494209,             204,            481,        33283,          14953,            52,    173367,        1220,         87
 703,          2804,             349,              5,        495616,             204,            482,        33341,          14994,            52,    174207,        1224,         88
 704,          2807,             349,              5,        497025,             204,            485,        33395,          15012,            52,    174517,        1223,         89
 705,          2810,             349,              5,        498436,             204,            486,        33444,          15030,            53,    175565,        1225,         90
 706,          2817,             351,              5,        499849,             206,            487,        33486,          15040,            52,    174558,        1225,         89
 707,          2820,             351,              5,        501264,             206,            489,        33569,          15094,            53,    175652,        1227,         89
 708,          2825,             352,              5,        502681,             207,            491,        33633,          15134,            53,    175666,        1227,         89
 709,          2828,             352,              5,        504100,             207,            491,        33707,          15170,            53,    176560,        1229,         89
 710,          2831,             352,              5,        505521,             207,            493,        33726,          15161,            53,    178346,        1235,         90
 711,          2834,             352,              5,        506944,             207,            496,        33790,          15190,            53,    179455,        1238,         90
 712,          2837,             352,              5,        508369,             207,            495,        33826,          15212,            54,    180167,        1239,         91
 713,          2840,             352,              5,        509796,             207,            498,        33879,          15225,            54,    180932,        1240,         91
 714,          2845,             353,              5,        511225,             208,            498,        33956,          15270,            54,    180514,        1238,         92
 715,          2852,             355,              5,        512656,             208,            500,        34034,          15315,            54,    180532,        1240,         91
 716,          2855,             355,              5,        514089,             208,            501,        34067,          15320,            53,    181321,        1242,         92
 717,          2858,             355,              5,        515524,             208,            503,        34118,          15345,            53,    182114,        1245,         92
 718,          2861,             355,              5,        516961,             208,            550,        34173,          15366,            53,    184314,        1249,         93
 719,          2864,             355,              5,        518400,             208,            505,        34233,          15403,            54,    185110,        1251,         93
 720,          2867,             355,              5,        519841,             208,            507,        34262,          15402,            55,    185160,        1255,         94
 721,          2870,             355,              5,        521284,             208,            509,        34327,          15433,            55,    185724,        1257,         94
 722,          2873,             355,              5,        522729,             208,            510,        34368,          15446,            55,    186610,        1259,         95
 723,          2878,             356,              5,        524176,             209,            511,        34442,          15502,            55,    186615,        1259,         94
 724,          2881,             356,              5,        525625,             209,            513,        34475,          15499,            54,    186957,        1263,         94
 725,          2884,             356,              5,        527076,             209,            513,        34520,          15518,            55,    187575,        1267,         94
 726,          2887,             356,              5,        528529,             209,            514,        34613,          15578,            55,    190019,        1267,         98
 727,          2890,             356,              6,        529984,             209,            518,        34645,          15586,            55,    190610,        1270,         97
 728,          2893,             356,              5,        531441,             209,            519,        34701,          15603,            55,    188700,        1271,        139
 729,          2896,             356,              9,        532900,             209,            524,        34761,          15636,            56,    189232,        1273,         97
 730,          2899,             356,              5,        534361,             209,            521,        34837,          15675,            56,    189827,        1277,         96
 731,          2902,             356,              5,        535824,             209,            525,        34852,          15676,            55,    190350,        1278,         96
 732,          2905,             356,              5,        537289,             209,            523,        34921,          15710,           196,    192360,        1282,        152
 733,          2908,             356,              7,        538756,             209,            546,        34979,          15742,            56,    192894,        1284,        131
 734,          2913,             357,              5,        540225,             210,            526,        35036,          15771,            55,    192360,        1282,         97
 735,          2916,             357,              5,        541696,             210,            528,        35083,          15794,            55,    192916,        1284,         97
 736,          2919,             357,              5,        543169,             210,            531,        35129,          15801,            56,    194239,        1288,         98
 737,          2922,             357,              5,        544644,             210,            531,        35223,          15855,            55,    194819,        1290,         97
 738,          2927,             358,              5,        546121,             211,            534,        35278,          15874,            56,    193931,        1288,         98
 739,          2934,             360,              5,        547600,             211,            534,        35325,          15900,            55,    193957,        1290,         97
 740,          2945,             364,              5,        549081,             213,            537,        35386,          15926,            55,    193434,        1292,         98
 741,          2948,             364,              5,        550564,             213,            537,        35426,          15944,            56,    194162,        1294,         98
 742,          2951,             364,              5,        552049,             213,            594,        35474,          15966,            56,    195714,        1300,         99
 743,          2954,             364,              5,        553536,             213,            539,        35519,          15988,            56,    196543,        1301,         99
 744,          2957,             364,              5,        555025,             213,            542,        35577,          16013,            56,    197287,        1302,         99
 745,          2964,             366,              5,        556516,             215,            544,        35644,          16049,            56,    196472,        1303,         98
 746,          2973,             369,              5,        558009,             216,            578,        35717,          16083,            56,    195845,        1302,        131
 747,          2980,             371,              6,        559504,             216,            547,        35766,          16111,            56,    197539,        1306,         99
